fid,MappingUnit,name,admin1,region,subregion,basis,note
15,Cariboo_British Columbia,Cariboo,British Columbia,Cariboo,"Cariboo Regional District, eastern part inside Y2Y (Wells–Barkerville, Bowron Lake, Likely / Quesnel Lake, Horsefly; Cariboo Mountains)",admin name,VET: 'Cariboo–Chilcotin' would overreach — no Chilcotin land is inside Y2Y; the clip is the Cariboo Mountains flank
16,Kitimat-Stikine_British Columbia,Kitimat-Stikine,British Columbia,Stikine,"Regional District of Kitimat-Stikine, eastern part inside Y2Y (upper Skeena / Kispiox, Klappan – Sacred Headwaters, Spatsizi, Iskut; Tahltan and Gitxsan territory)",admin name,Terrace / Kitimat (the district's towns) are outside Y2Y; 'Sacred Headwaters' is the landmark word for clusters here
17,Bulkley-Nechako_British Columbia,Bulkley-Nechako,British Columbia,Omineca,"Regional District of Bulkley-Nechako, eastern part inside Y2Y (Fort St. James north, Takla Landing, Germansen Landing, Manson Creek; Omineca Mountains, Babine)",landscape name,VET: the district name (Bulkley / Nechako) describes valleys outside the clip; Omineca is the conventional name for the mountains inside it
18,Fraser-Fort George_British Columbia,Fraser-Fort George,British Columbia,Robson Valley / Upper Fraser,"Regional District of Fraser-Fort George (Prince George, Mackenzie, McBride, Valemount; Robson Valley, Rocky Mountain Trench, McGregor Range)",landscape name,"VET: one word for a 38,000 km² unit from Valemount to Mackenzie — 'Robson Valley' fits the south (Mount Robson clusters), 'McGregor / Mackenzie' the north"
19,Peace River_Alberta,Peace River,British Columbia,Peace region,"Peace River Regional District (Fort St. John, Dawson Creek, Chetwynd, Tumbler Ridge, Hudson's Hope; Peace River Break, Williston)",admin name,"suffix corrected: shipped Alberta, polygon in British Columbia"
20,Stikine_British Columbia,Stikine,British Columbia,Stikine,"Stikine Region (unincorporated: Dease Lake, Telegraph Creek, Good Hope Lake; Cassiar Mountains, Kechika — Tahltan and Kaska Dena territory, Dene Kʼéh Kusān)",admin name,VET: the Y2Y clip is largely Cassiar / Kechika (Kaska country) rather than the Stikine valley — 'Cassiar' is the alternative word
21,Northern Rockies_British Columbia,Northern Rockies,British Columbia,Northern Rockies (BC),"Northern Rockies Regional Municipality (Fort Nelson; Muskwa–Kechika, Liard)",admin name,
22,Yukon_British Columbia,Yukon,Yukon,Yukon,"eastern Yukon — Peel / Wind / Snake watersheds and Fishing Branch (north), Selwyn and Mackenzie Mountains flank, Ross River / Kaska Dena territory (south) (gazetteer)",gazetteer (north),"suffix corrected: shipped British Columbia, polygon in Yukon; VET: ONE unit = the territory's whole Y2Y share (297,000 km², 58–69°N) — no unit-level sub-region can be right for every cluster; name per cluster by watershed (deck pick 11 → Peel watershed, east of Fishing Branch)"
23,Region 1_Yukon,Region 1,Northwest Territories,Mackenzie Delta / Peel,"Inuvik Region (Region 1) — Peel Plateau and Richardson Mountains, Gwich'in Settlement Area (gazetteer)",gazetteer (north),"suffix corrected: shipped Yukon, polygon in Northwest Territories; placement verified from the polygon: a 12,900 km² north–south strip along the Yukon border, 63.8–67.8°N (the NT side of the Peel watershed)"
24,Region 2_Yukon,Region 2,Northwest Territories,Sahtú,"Sahtú Region (Region 2) — Mackenzie Mountains west of Norman Wells / Tulita; Nááts'įhch'oh, Canol Heritage Trail (gazetteer)",gazetteer (north),"suffix corrected: shipped Yukon, polygon in Northwest Territories; placement verified from the polygon: centroid 64.1°N 128.1°W, 61.9–66.9°N"
25,Region 4_British Columbia,Region 4,Northwest Territories,Dehcho / Nahanni,"Dehcho Region (Region 4) — Nahanni National Park Reserve, Fort Simpson / Fort Liard / Nahanni Butte, Liard and South Nahanni (gazetteer)",gazetteer (north),"suffix corrected: shipped British Columbia, polygon in Northwest Territories; placement verified from the polygon: centroid 62.0°N 124.8°W, 59.5–64.2°N; Virginia Falls (61.6°N 125.8°W) inside it"
26,Ada County_Idaho,Ada County,Idaho,West-central Idaho (Boise–Payette),Ada County (Boise; a 50 km² sliver of the Boise foothills),landscape name,boundary sliver (50 km²)
27,Adams County_Idaho,Adams County,Idaho,West-central Idaho (Boise–Payette),"Adams County (Council, New Meadows; Cuddy Mountains, Hells Canyon rim)",landscape name,
28,Bear Lake County_Idaho,Bear Lake County,Idaho,Southeast Idaho (Caribou–Bear River),"Bear Lake County (Paris, Montpelier; Bear River Range)",landscape name,VET: outside most Greater Yellowstone definitions; grouped with Caribou County
29,Benewah County_Idaho,Benewah County,Idaho,Idaho Panhandle / Clearwater,Benewah County (St. Maries; St. Joe River),landscape name,
30,Bingham County_Idaho,Bingham County,Idaho,Southeast Idaho (Caribou–Bear River),Bingham County (Blackfoot; a 173 km² sliver of the Blackfoot Mountains),landscape name,boundary sliver (173 km²)
31,Blaine County_Idaho,Blaine County,Idaho,Central Idaho / Salmon–Bitterroot,"Blaine County (Hailey; Ketchum – Sun Valley, Sawtooth NRA, Pioneer Mountains)",landscape name,VET: 'Sawtooth / Wood River' may deserve its own word (with Camas County)
32,Boise County_Idaho,Boise County,Idaho,West-central Idaho (Boise–Payette),"Boise County (Idaho City; Boise Mountains, Lowman, Sawtooth west)",landscape name,
33,Bonner County_Idaho,Bonner County,Idaho,Selkirk–Cabinet / Purcell (US),"Bonner County (Sandpoint; Selkirks, Cabinets, Lake Pend Oreille)",landscape name,
34,Bonneville County_Idaho,Bonneville County,Idaho,Greater Yellowstone,"Bonneville County (Idaho Falls; Swan Valley, Palisades, Caribou-Targhee NF)",landscape name,
35,Boundary County_Idaho,Boundary County,Idaho,Selkirk–Cabinet / Purcell (US),"Boundary County (Bonners Ferry; Selkirks, Purcells, Kootenai valley)",landscape name,
36,Butte County_Idaho,Butte County,Idaho,High Divide,"Butte County (Arco; Lost River Range, Little Lost)",landscape name,VET: alternative 'Central Idaho / Salmon–Bitterroot'
37,Camas County_Idaho,Camas County,Idaho,Central Idaho / Salmon–Bitterroot,Camas County (Fairfield; Soldier Mountains),landscape name,VET: with Blaine County — 'Sawtooth / Wood River' alternative
38,Canyon County_Idaho,Canyon County,Idaho,West-central Idaho (Boise–Payette),Canyon County (Caldwell; a 0.02 km² clip sliver),landscape name,clip sliver (0.02 km²) — ignore
39,Caribou County_Idaho,Caribou County,Idaho,Southeast Idaho (Caribou–Bear River),"Caribou County (Soda Springs; Caribou Range, Grays Lake)",landscape name,VET: alternative 'Greater Yellowstone' (the Caribou Range is its south-west edge)
40,Clark County_Idaho,Clark County,Idaho,High Divide,Clark County (Dubois; Centennial Mountains),landscape name,the Centennials are the Greater Yellowstone – High Divide link; 'Greater Yellowstone' is the alternative
41,Clearwater County_Idaho,Clearwater County,Idaho,Idaho Panhandle / Clearwater,"Clearwater County (Orofino; North Fork Clearwater, Dworshak)",landscape name,
42,Custer County_Idaho,Custer County,Idaho,Central Idaho / Salmon–Bitterroot,"Custer County (Challis; Stanley, Sawtooths, Lost River Range, Salmon River)",landscape name,
43,Elmore County_Idaho,Elmore County,Idaho,West-central Idaho (Boise–Payette),"Elmore County (Mountain Home; Boise Mountains south, Trinity Mountains)",landscape name,
44,Fremont County_Idaho,Fremont County,Idaho,Greater Yellowstone,"Fremont County, Idaho (St. Anthony; Island Park, Ashton, Henrys Fork)",landscape name,
45,Gem County_Idaho,Gem County,Idaho,West-central Idaho (Boise–Payette),Gem County (Emmett; West Mountains),landscape name,
46,Idaho County_Idaho,Idaho County,Idaho,Central Idaho / Salmon–Bitterroot,"Idaho County (Grangeville; Frank Church, Gospel Hump, Selway–Bitterroot, Hells Canyon)",landscape name,
47,Jefferson County_Idaho,Jefferson County,Idaho,Greater Yellowstone,"Jefferson County, Idaho (Rigby; a 42 km² sliver east of Ririe)",landscape name,boundary sliver (42 km²)
48,Kootenai County_Idaho,Kootenai County,Idaho,Idaho Panhandle / Clearwater,Kootenai County (Coeur d'Alene; Coeur d'Alene Mountains),landscape name,
49,Latah County_Idaho,Latah County,Idaho,Idaho Panhandle / Clearwater,"Latah County (Moscow; Palouse, Palouse Range)",landscape name,VET: Palouse farmland — thin conservation relevance
50,Lemhi County_Idaho,Lemhi County,Idaho,Central Idaho / Salmon–Bitterroot,"Lemhi County (Salmon; Lemhi Range, Beaverhead Mountains, Frank Church east)",landscape name,VET: the High Divide Collaborative counts Lemhi in; alternative 'High Divide'
51,Lewis County_Idaho,Lewis County,Idaho,Idaho Panhandle / Clearwater,Lewis County (Nezperce; Camas Prairie),landscape name,
52,Madison County_Montana,Madison County,Idaho,Greater Yellowstone,"Madison County, Idaho (Rexburg; Big Hole Mountains)",landscape name,"suffix corrected: shipped Montana, polygon in Idaho; NAME COLLISION: n_groups 2 equals Madison County, Montana (fid 73) -- treated as a copied count / false positive (report-back §2), set aside"
53,Nez Perce County_Idaho,Nez Perce County,Idaho,Idaho Panhandle / Clearwater,"Nez Perce County (Lewiston; Craig Mountain, Hells Canyon north)",landscape name,
54,Payette County_Idaho,Payette County,Idaho,West-central Idaho (Boise–Payette),Payette County (Payette),landscape name,
55,Shoshone County_Idaho,Shoshone County,Idaho,Idaho Panhandle / Clearwater,"Shoshone County (Wallace; Silver Valley, St. Joe, Coeur d'Alene Mountains)",landscape name,
56,Teton County_Wyoming,Teton County,Idaho,Greater Yellowstone,"Teton County, Idaho (Driggs; Teton Valley, Big Hole Mountains)",landscape name,"suffix corrected: shipped Wyoming, polygon in Idaho; NAME COLLISION: n_groups 1 equals Teton County, Montana (fid 85) -- treated as a copied count / false positive (report-back §2), set aside; NAME COLLISION: n_groups 1 equals Teton County, Wyoming (fid 107) -- treated as a copied count / false positive (report-back §2), set aside"
57,Valley County_Idaho,Valley County,Idaho,Central Idaho / Salmon–Bitterroot,"Valley County (Cascade; McCall, Frank Church west, Salmon River Mountains)",landscape name,VET: the west half (McCall / Cascade) is West-central Idaho — placed by the Frank Church share
58,Washington County_Idaho,Washington County,Idaho,West-central Idaho (Boise–Payette),"Washington County (Weiser; Hells Canyon south, Cuddy Mountains)",landscape name,
59,Beaverhead County_Montana,Beaverhead County,Montana,High Divide,"Beaverhead County (Dillon; Big Hole, Pioneer Mountains, Centennial Range)",landscape name,
60,Broadwater County_Montana,Broadwater County,Montana,Central Montana island ranges,"Broadwater County (Townsend; Big Belt Mountains, Elkhorns)",landscape name,VET: alternative 'High Divide'
61,Carbon County_Montana,Carbon County,Montana,Greater Yellowstone,Carbon County (Red Lodge; Beartooths),landscape name,
62,Cascade County_Montana,Cascade County,Montana,Central Montana island ranges,"Cascade County (Great Falls; inside Y2Y the Little Belt Mountains — Monarch, Neihart)",landscape name,
63,Deer Lodge County_Montana,Deer Lodge County,Montana,High Divide,Deer Lodge County (Anaconda; Anaconda–Pintler),landscape name,
64,Flathead County_Montana,Flathead County,Montana,Crown of the Continent,"Flathead County (Kalispell; Glacier NP west, Bob Marshall, Whitefish Range, North Fork Flathead)",landscape name,
65,Gallatin County_Idaho,Gallatin County,Montana,Greater Yellowstone,"Gallatin County (Bozeman; Gallatin Range, Big Sky, Yellowstone north-west)",landscape name,"suffix corrected: shipped Idaho, polygon in Montana"
66,Glacier County_Montana,Glacier County,Montana,Crown of the Continent,"Glacier County (Cut Bank; Glacier NP east, Blackfeet Nation)",landscape name,
67,Granite County_Montana,Granite County,Montana,High Divide,"Granite County (Philipsburg; Flint Creek Range, Pintler)",landscape name,
68,Jefferson County_Montana,Jefferson County,Montana,High Divide,"Jefferson County, Montana (Boulder; Elkhorns, Boulder Mountains)",landscape name,
69,Judith Basin County_Montana,Judith Basin County,Montana,Central Montana island ranges,Judith Basin County (Stanford; Little Belts),landscape name,
70,Lake County_Montana,Lake County,Montana,Crown of the Continent,"Lake County (Polson; Mission Mountains, Flathead Reservation)",landscape name,
71,Lewis and Clark County_Montana,Lewis and Clark County,Montana,Crown of the Continent,"Lewis and Clark County (Helena; Rocky Mountain Front — Augusta, Scapegoat / Bob Marshall)",landscape name,"VET: the south end (Helena, Big Belts / Elkhorns) is not Crown"
72,Lincoln County_Montana,Lincoln County,Montana,Selkirk–Cabinet / Purcell (US),"Lincoln County, Montana (Libby; Cabinets, Purcells, Yaak)",landscape name,"name collision: Lincoln County, Wyoming (fid 103) shipped with this unit's suffix and count"
73,Madison County_Montana,Madison County,Montana,Greater Yellowstone,"Madison County, Montana (Virginia City; Madison Range, Gravelly Range, Tobacco Roots)",landscape name,"name collision: Madison County, Idaho (fid 52) shipped with this unit's suffix and count; VET: the west half (Gravelly, Centennial) is High Divide"
74,Meagher County_Montana,Meagher County,Montana,Central Montana island ranges,"Meagher County (White Sulphur Springs; Castle Mountains, Little Belts, Big Belts)",landscape name,
75,Mineral County_Montana,Mineral County,Montana,Idaho Panhandle / Clearwater,"Mineral County, Montana (Superior; St. Regis, Bitterroot Divide, Lolo NF)",landscape name,VET: a Montana county under a Panhandle word — placed by geography (the Bitterroot Divide with Shoshone County); alternative 'Central Idaho / Salmon–Bitterroot'
76,Missoula County_Montana,Missoula County,Montana,Crown of the Continent,"Missoula County (Missoula; Rattlesnake, Blackfoot, Seeley–Swan)",landscape name,
77,Park County_Montana,Park County,Montana,Greater Yellowstone,"Park County, Montana (Livingston; Paradise Valley, Absaroka, Yellowstone north gateway)",landscape name,"name collision: Park County, Wyoming (fid 104) shipped with this unit's suffix and count"
78,Pondera County_Montana,Pondera County,Montana,Crown of the Continent,Pondera County (Conrad; Rocky Mountain Front),landscape name,
79,Powell County_Montana,Powell County,Montana,Crown of the Continent,"Powell County (Deer Lodge; Blackfoot / Ovando, Scapegoat, Garnet Range)",landscape name,"VET: split unit — Blackfoot / Scapegoat (Crown) north, Deer Lodge valley (High Divide) south"
80,Ravalli County_Idaho,Ravalli County,Montana,Central Idaho / Salmon–Bitterroot,"Ravalli County, Montana (Hamilton; Bitterroot Valley, Selway–Bitterroot, Sapphire Mountains)",landscape name,"suffix corrected: shipped Idaho, polygon in Montana; VET: a Montana county under the Salmon–Bitterroot word (the Montana side of the Selway–Bitterroot)"
81,Sanders County_Idaho,Sanders County,Montana,Selkirk–Cabinet / Purcell (US),"Sanders County, Montana (Thompson Falls; Cabinets south, Clark Fork)",landscape name,"suffix corrected: shipped Idaho, polygon in Montana"
82,Silver Bow County_Montana,Silver Bow County,Montana,High Divide,Silver Bow County (Butte; Highland Mountains),landscape name,
83,Stillwater County_Montana,Stillwater County,Montana,Greater Yellowstone,Stillwater County (Columbus; Beartooth foothills),landscape name,
84,Sweet Grass County_Montana,Sweet Grass County,Montana,Greater Yellowstone,"Sweet Grass County (Big Timber; Crazy Mountains, Absaroka north)",landscape name,VET: split unit — the Crazies are an island range (Central Montana word) rather than Greater Yellowstone
85,Teton County_Montana,Teton County,Montana,Crown of the Continent,"Teton County, Montana (Choteau; Rocky Mountain Front)",landscape name,
86,Wheatland County_Montana,Wheatland County,Montana,Central Montana island ranges,"Wheatland County (Harlowton; Crazy Mountains east, Little Belts south)",landscape name,
87,Baker County_Idaho,Baker County,Oregon,Blue Mountains,"Baker County (Baker City; Elkhorn Mountains, Wallowas south)",landscape name,"suffix corrected: shipped Idaho, polygon in Oregon"
88,Grant County_Oregon,Grant County,Oregon,Blue Mountains,"Grant County, Oregon (Canyon City; a 25 km² sliver of the Blue Mountains)",landscape name,boundary sliver (25 km²)
89,Malheur County_Idaho,Malheur County,Oregon,Blue Mountains,Malheur County (Vale; 491 km² on the Snake River near Huntington),landscape name,"suffix corrected: shipped Idaho, polygon in Oregon; VET: boundary piece on the Snake River, Blue Mountains only by adjacency"
90,Umatilla County_Oregon,Umatilla County,Oregon,Blue Mountains,"Umatilla County (Pendleton; Blue Mountains, Umatilla NF)",landscape name,
91,Union County_Oregon,Union County,Oregon,Blue Mountains,"Union County (La Grande; Grande Ronde valley, Wallowas west, Elkhorns)",landscape name,
92,Wallowa County_Idaho,Wallowa County,Oregon,Blue Mountains,"Wallowa County (Enterprise; Wallowa Mountains, Hells Canyon)",landscape name,"suffix corrected: shipped Idaho, polygon in Oregon"
93,Asotin County_Idaho,Asotin County,Washington,Blue Mountains,"Asotin County (Asotin; Blue Mountains, Snake River)",landscape name,"suffix corrected: shipped Idaho, polygon in Washington"
94,Columbia County_Oregon,Columbia County,Washington,Blue Mountains,"Columbia County, Washington (Dayton; Blue Mountains)",landscape name,"suffix corrected: shipped Oregon, polygon in Washington"
95,Ferry County_Washington,Ferry County,Washington,Okanagan–Boundary,Ferry County (Republic; Kettle Range — 290 km² on the US side of the Boundary country),landscape name,VET: US side of the Boundary / Kettle River; alternative 'Selkirk–Cabinet / Purcell (US)'
96,Garfield County_Oregon,Garfield County,Washington,Blue Mountains,"Garfield County, Washington (Pomeroy; Blue Mountains)",landscape name,"suffix corrected: shipped Oregon, polygon in Washington"
97,Pend Oreille County_Idaho,Pend Oreille County,Washington,Selkirk–Cabinet / Purcell (US),"Pend Oreille County (Newport; Selkirks, Pend Oreille River)",landscape name,"suffix corrected: shipped Idaho, polygon in Washington"
98,Spokane County_Idaho,Spokane County,Washington,Idaho Panhandle / Clearwater,"Spokane County (Spokane; Mount Spokane, the Idaho-border strip)",landscape name,"suffix corrected: shipped Idaho, polygon in Washington; VET: a Washington county under a Panhandle word — placed by geography (Mount Spokane adjoins the Coeur d'Alene Mountains)"
99,Stevens County_Washington,Stevens County,Washington,Selkirk–Cabinet / Purcell (US),"Stevens County (Colville; Selkirk foothills east of Colville, Pend Oreille River)",landscape name,
100,Walla Walla County_Oregon,Walla Walla County,Washington,Blue Mountains,Walla Walla County (Walla Walla; a 140 km² sliver of the Blue Mountains foothills),landscape name,"suffix corrected: shipped Oregon, polygon in Washington; boundary sliver (140 km²)"
101,Fremont County_Wyoming,Fremont County,Wyoming,Greater Yellowstone,"Fremont County, Wyoming (Lander; Wind River Range east, Dubois, Absaroka)",landscape name,"VET: 'Wind River' is the alternative word for the Wyoming south-east (Fremont, Sublette, Sweetwater)"
102,Hot Springs County_Wyoming,Hot Springs County,Wyoming,Greater Yellowstone,"Hot Springs County (Thermopolis; Absaroka east, Owl Creek Mountains)",landscape name,eastern Greater Yellowstone fringe
103,Lincoln County_Montana,Lincoln County,Wyoming,Greater Yellowstone,"Lincoln County, Wyoming (Kemmerer; Star Valley, Salt River and Wyoming ranges)",landscape name,"suffix corrected: shipped Montana, polygon in Wyoming; NAME COLLISION: n_groups 1 equals Lincoln County, Montana (fid 72) -- treated as a copied count / false positive (report-back §2), set aside"
104,Park County_Montana,Park County,Wyoming,Greater Yellowstone,"Park County, Wyoming (Cody; Absaroka, Yellowstone east)",landscape name,"suffix corrected: shipped Montana, polygon in Wyoming; NAME COLLISION: n_groups 2 equals Park County, Montana (fid 77) -- treated as a copied count / false positive (report-back §2), set aside"
105,Sublette County_Wyoming,Sublette County,Wyoming,Greater Yellowstone,"Sublette County (Pinedale; Wind River Range west, Wyoming Range, Upper Green)",landscape name,VET: 'Wind River / Upper Green' alternative
106,Sweetwater County_Wyoming,Sweetwater County,Wyoming,Greater Yellowstone,Sweetwater County (Green River; a 363 km² sliver at South Pass),landscape name,boundary sliver (363 km²)
107,Teton County_Wyoming,Teton County,Wyoming,Greater Yellowstone,"Teton County, Wyoming (Jackson; Tetons, Grand Teton NP, Yellowstone south)",landscape name,"name collision: Teton County, Idaho (fid 56) shipped with this unit's suffix and count; name collision: Teton County, Montana (fid 85) shipped with this unit's suffix and count"
