code,name,method,anthropogenic,cells,pct_pu,pct_in_PAs,rule_C_purpose,rule_A_point,rule_A_envelope_small,rule_B_subgrain,utility_drop,merged_into,retained,boundary_share_10km,clip_edge_flag,reason
SF1.2,Groundwater ecosystems,direct,False,56842,4.465501989922336,6.0712149466943455,False,False,False,False,False,,True,,False,
T7.2,Sown pastures and fields,proxy,True,78834,6.193191370351807,1.6401552629576073,True,False,False,False,False,,False,,False,C purpose: anthropogenic biome
TF1.7,Boreal and temperate fens,envelope,False,83382,6.550481807883329,6.748458900002399,False,False,False,False,False,TF1.6_TF1.7,True,,False,
TF1.6,"Boreal, temperate and montane peat bogs",envelope,False,83382,6.550481807883329,6.748458900002399,False,False,False,False,False,TF1.6_TF1.7,True,,False,
T6.2,"Polar/alpine cliffs, screes, outcrops and lava flows",direct,False,98830,7.764075184969291,30.024284124253768,False,False,False,False,False,,True,,False,
F3.1,Large reservoirs,direct,True,103165,8.104632363223281,17.372170794358553,True,False,False,False,False,,False,,False,C purpose: anthropogenic biome
T7.5,Derived semi-natural pastures and old fields,proxy,True,107334,8.432148597627176,0.6885050403413643,True,False,False,False,False,,False,,False,C purpose: anthropogenic biome
T3.4,"Young rocky pavements, lava flows and screes",proxy,False,149811,11.769137585100015,29.487821321531797,False,False,False,False,False,,True,,False,
T6.3,Polar tundra and deserts,proxy,False,196397,15.428929212814063,19.937677255762562,False,False,False,False,False,,True,,False,
TF1.2,Subtropical/temperate forested wetlands,envelope,False,205540,16.147202403304544,20.95699133988518,False,False,False,False,False,,True,,False,
F1.3,Freeze-thaw rivers and streams,direct,False,208825,16.405271683711547,15.403807015443553,False,False,False,False,False,,True,,False,
F3.5,"Canals, ditches and drains",envelope,True,240086,18.861132802373138,17.16176703347967,True,False,False,False,False,,False,,False,C purpose: anthropogenic biome
S1.1,Aerobic caves,proxy,False,278764,21.899672719445306,22.536625963180324,False,False,False,False,False,S1.1_SF1.1,True,,False,
SF1.1,Underground streams and pools,proxy,False,278764,21.899672719445306,22.536625963180324,False,False,False,False,False,S1.1_SF1.1,True,,False,
F3.2,Constructed lacustrine wetlands,envelope,True,283559,22.276367452946545,19.515162629294082,True,False,False,False,False,,False,,False,C purpose: anthropogenic biome
F2.4,Freeze-thaw freshwater lakes,direct,False,491075,38.57880422400885,15.176296899658912,False,False,False,False,False,,True,,False,
F2.9,Geothermal pools and wetlands,envelope,False,514094,40.38717462452294,18.174108237015023,False,False,False,False,True,,False,,False,envelope over 40% of the extent: its target is met by any 30% of half the landscape (uninformative)
T6.4,Temperate alpine grasslands and shrublands,envelope,False,812880,63.85977371605623,18.399271725223894,False,False,False,False,False,,True,,False,
T2.1,Boreal and temperate high montane forests and woodlands,proxy,False,1225770,96.29637194657298,15.566052358925411,False,False,False,False,False,,True,,False,
